Item,Image,Price (€),Neighborhood,Zipcode,Link
Peppa Wutz Puzzle 2x12,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/dO8AAOSwqAFgICkW/$_2.JPG"" style=""max-height:124px;""></img>",4,Hohenschönhausen,13053,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-puzzle-2x12/1661015419-23-3357
Peppa wutz peppa pig schweinchen Plüschtier Mama wutz,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/eF8AAOSw~Q9gIBCv/$_2.JPG"" style=""max-height:124px;""></img>",10,Mitte,10117,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-peppa-pig-schweinchen-plueschtier-mama-wutz/1660838030-23-3520
Peppa wutz Figuren mit Schatz,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/q9IAAOSwappgH-bD/$_2.JPG"" style=""max-height:124px;""></img>",10,Neukölln,12347,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-figuren-mit-schatz/1660451842-23-3389
"Peppa Pig , Größe 98/104!","<img src=""https://i.ebayimg.com/00/s/ODkwWDE2MDA=/z/g4kAAOSwThxgH9ar/$_2.JPG"" style=""max-height:124px;""></img>",5,Pankow,13127,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-pig-groesse-98-104-/1660290882-22-3465
Kuscheltier Peppa Wutz Mama Wutz 35 cm,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/A8wAAOSw2VtgH9GT/$_2.JPG"" style=""max-height:124px;""></img>",15,Hohenschönhausen,13055,https://www.ebay-kleinanzeigen.de/s-anzeige/kuscheltier-peppa-wutz-mama-wutz-35-cm/1660244807-23-3358
H&M Set Peppa Pig Wutz Leggings Tunika Shirt Gr. 92 98,"<img src=""https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/v2AAAOSwcL1gH8rL/$_2.JPG"" style=""max-height:124px;""></img>",8,Pankow,13127,https://www.ebay-kleinanzeigen.de/s-anzeige/h-m-set-peppa-pig-wutz-leggings-tunika-shirt-gr-92-98/1660183580-22-3465
Peppa Wutz Spiel,"<img src=""https://i.ebayimg.com/00/s/MTU2MlgxNjAw/z/TQcAAOSwAQJgH70P/$_2.JPG"" style=""max-height:124px;""></img>",3,Steglitz,12161,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-spiel/1660054912-23-3427
Figuren Peppa Wutz Pudding Ei Anhänger König Zaubertonie Tonie,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/0gkAAOSwWixgH42r/$_2.JPG"" style=""max-height:124px;""></img>",1,Pankow,13187,https://www.ebay-kleinanzeigen.de/s-anzeige/figuren-peppa-wutz-pudding-ei-anhaenger-koenig-zaubertonie-tonie/1659862116-234-3473
Peppa Wutz Spiel Brettspiel,"<img src=""https://i.ebayimg.com/00/s/MTE1MVgxNjAw/z/Dk0AAOSwCt9gHnTa/$_2.JPG"" style=""max-height:124px;""></img>",7,Köpenick,12557,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-spiel-brettspiel/1658736228-23-3366
Peppa und George Kuscheltiere,"<img src=""https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/s-UAAOSw79BgHmhy/$_2.JPG"" style=""max-height:124px;""></img>",5,Hellersdorf,12629,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-und-george-kuscheltiere/1658633443-23-3515
Peppa Wutz Peppa Pig Pullover,"<img src=""https://i.ebayimg.com/00/s/MTYwMFg3Mzk=/z/TV8AAOSwY1FgHl90/$_2.JPG"" style=""max-height:124px;""></img>",4,Steglitz,12247,https://www.ebay-kleinanzeigen.de/s-anzeige/peppa-wutz-peppa-pig-pullover/1658577819-22-3424
